Image,Title,Price,Rating,Author
https://m.media-amazon.com/images/I/71s-fS43pQL._AC_UY218_.jpg,Where Will Man Take Us?: The bold story of the man technology is creating,? 226,4.3 out of 5 stars,"
    
        
        
            Atul Jalan
        
    
"
,,,,
https://m.media-amazon.com/images/I/61EwZic7IkL._AC_UY218_.jpg,Data Structure and Algorithmic Thinking with Python,? 499,4.3 out of 5 stars,"
    
        
        
            Narasimha Karumanchi
        
    
"
,,,,
https://m.media-amazon.com/images/I/81TIxtIKewL._AC_UY218_.jpg,Fundamentals of Database System,? 560,4.0 out of 5 stars,Elmasri Ramez
,,,,
https://m.media-amazon.com/images/I/51hbrArMGEL._AC_UY218_.jpg,Concise Inorganic Chemistry: Fifth Edition by J.D. Lee,? 740,4.4 out of 5 stars,"
    
        
        
            J.D. Lee
        
    
"
,,,,
https://m.media-amazon.com/images/I/81HYeeBlGmL._AC_UY218_.jpg,An Introduction to Statistical Learning: with Applications in R (Springer Texts in Statistics),"? 1,237",4.5 out of 5 stars,"
    
        
        
            Gareth James
        
    
"
,,,,
https://m.media-amazon.com/images/I/51vlzzkNlSL._AC_UY218_.jpg,"Advanced Engineering Mathematics, 10ed, ISV",? 773,3.9 out of 5 stars,"
    
        
        
            Erwin Kreyszig
        
    
"
,,,,
https://m.media-amazon.com/images/I/51dJUcDMNRL._AC_UY218_.jpg,"Callister's Materials Science and Engineering, 2ed (WIND)",? 491,3.8 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/81N7ztYWjLL._AC_UY218_.jpg,GATE Mechanical Engineering  | GATE 2020 | By Pearson,? 581,1.0 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/61ZrOlFRuJL._AC_UY218_.jpg,"Previous Years' Solved Question Papers: GATE Mechanical Engineering, 2019 by Pearson",? 353,3.8 out of 5 stars,"
    
        
        
            Pearson Education
        
    
"
,,,,
https://m.media-amazon.com/images/I/91nEfdqdVSL._AC_UY218_.jpg,Objective Type and Conventional Questions and Answers on Civil Engineering for All Types of Examinations & Interviews,? 699,4.0 out of 5 stars,R. Agor
,,,,
https://m.media-amazon.com/images/I/61rCy77ry3L._AC_UY218_.jpg,"Real-Time Systems, 1e",? 594,4.0 out of 5 stars,LIU
,,,,
https://m.media-amazon.com/images/I/91nT5IZzX8L._AC_UY218_.jpg,Computer Fundamentals,? 376,4.2 out of 5 stars,P. K. Sinha
,,,,
https://m.media-amazon.com/images/I/91IGvmg88fL._AC_UY218_.jpg,Concepts of Modern Physics (SIE),? 536,4.0 out of 5 stars,Arthur Beiser
,,,,
https://m.media-amazon.com/images/I/91qURwTZZgL._AC_UY218_.jpg,Design of Machine Elements,? 536,4.3 out of 5 stars,Bhandari
,,,,
https://m.media-amazon.com/images/I/91e1ZaNlWmL._AC_UY218_.jpg,"Inorganic Chemistry: Principles of Structure and Reactivity, 4e",? 719,4.4 out of 5 stars,Huheey / Medhi
,,,,
https://m.media-amazon.com/images/I/71dqlxLlSxL._AC_UY218_.jpg,How to Win an Indian Election: What Political Parties Don't Want You to Know,? 152,4.4 out of 5 stars,"
    
        
        
            Shivam Shankar Singh
        
    
"
,,,,
https://m.media-amazon.com/images/I/71uToALZBiL._AC_UY218_.jpg,Fundamentals of Electric Circuits,? 717,5.0 out of 5 stars,"
    
        
        
            Matthew N. O. Sadiku
        
    
"
,,,,
https://m.media-amazon.com/images/I/81znFI67IRL._AC_UY218_.jpg,C in Depth,? 371,4.4 out of 5 stars,Deepali Srivastava
,,,,
https://m.media-amazon.com/images/I/31Epo3taqwL._AC_UY218_.jpg,Intermediate Microeconomics : A Modern Approach,? 350,4.5 out of 5 stars,Varian
,,,,
https://m.media-amazon.com/images/I/71z3GlKTKwL._AC_UY218_.jpg,Bad Blood: Secrets and Lies in a Silicon Valley Startup,? 250,4.7 out of 5 stars,"
    
        
        
            John Carreyrou
        
    
"
,,,,
https://m.media-amazon.com/images/I/81GrLlIm04L._AC_UY218_.jpg,Organizational Behaviour by Pearson,? 825,5.0 out of 5 stars,Stephen P. Robbins
,,,,
https://m.media-amazon.com/images/I/81z56bWV43L._AC_UY218_.jpg,Database System Concepts,? 581,4.4 out of 5 stars,Silberschatz
,,,,
https://m.media-amazon.com/images/I/918rfDmjitL._AC_UY218_.jpg,Signals and Systems,? 546,4.0 out of 5 stars,Oppenheim/Willsky/Hamid
,,,,
https://m.media-amazon.com/images/I/51V2Xgf9HyL._AC_UY218_.jpg,Environmental Studies: Third Edition,? 297,4.3 out of 5 stars,"
    
        
        
            R. Rajagopalan
        
    
"
,,,,
https://m.media-amazon.com/images/I/61f9v0u3TgL._AC_UY218_.jpg,Computer Organization,? 498,4.0 out of 5 stars,HAMACHER
,,,,
https://m.media-amazon.com/images/I/51vlzzkNlSL._AC_UY218_.jpg,"Advanced Engineering Mathematics, 10ed, ISV",? 773,3.9 out of 5 stars,"
    
        
        
            Erwin Kreyszig
        
    
"
,,,,
https://m.media-amazon.com/images/I/51dJUcDMNRL._AC_UY218_.jpg,"Callister's Materials Science and Engineering, 2ed (WIND)",? 491,3.8 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/81N7ztYWjLL._AC_UY218_.jpg,GATE Mechanical Engineering  | GATE 2020 | By Pearson,? 581,1.0 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/61ZrOlFRuJL._AC_UY218_.jpg,"Previous Years' Solved Question Papers: GATE Mechanical Engineering, 2019 by Pearson",? 353,3.8 out of 5 stars,"
    
        
        
            Pearson Education
        
    
"
,,,,
https://m.media-amazon.com/images/I/51y1U5JPfyL._AC_UY218_.jpg,Python: The Complete Reference,? 471,3.9 out of 5 stars,"
    
        
        
            Martin C. Brown
        
    
"
,,,,
https://m.media-amazon.com/images/I/61wzayxQyHL._AC_UY218_.jpg,Contemporary Abstract Algebra,? 516,4.4 out of 5 stars,"
    
        
        
            Joseph A. Gallian
        
    
"
,,,,
https://m.media-amazon.com/images/I/71jn1U9zRqL._AC_UY218_.jpg,Basic Econometrics,? 681,4.6 out of 5 stars,Damodar Gujarati
,,,,
https://m.media-amazon.com/images/I/51wAZSH4emL._AC_UY218_.jpg,A Guidebook to Mechanism in Organic Chemistry for the JEE,? 282,4.3 out of 5 stars,Peter Sykes
,,,,
https://m.media-amazon.com/images/I/81fT2Yq-JJL._AC_UY218_.jpg,Circuit Theory Analysis and Synthesis,? 424,4.3 out of 5 stars,"
    
        
        
            Abhijit Chakrabarti
        
    
"
,,,,
https://m.media-amazon.com/images/I/81PXVqyYl7L._AC_UY218_.jpg,Steam Tables (With Mollier Diagrams in S.I. Units),? 94,4.3 out of 5 stars,R.S Khurmi
,,,,
https://m.media-amazon.com/images/I/51fDCTcR04L._AC_UY218_.jpg,Civil Engineering (Objective Type),? 700,3.5 out of 5 stars,P. Jaya Rami Reddy
,,,,
https://m.media-amazon.com/images/I/91eReY8BaGL._AC_UY218_.jpg,Netzwerk Deutsch als Fremdsprache A2 (Textbook + Workbook + Glossar) (with 2 CDs),? 825,4.7 out of 5 stars,Stefanie Dengler
,,,,
https://m.media-amazon.com/images/I/71-UzN9AgEL._AC_UY218_.jpg,Fundamental Methods of Mathematical Economics,? 655,4.1 out of 5 stars,Chiang
,,,,
https://m.media-amazon.com/images/I/71YH4+LrpgL._AC_UY218_.jpg,Higher Engineering Mathematics,? 599,3.8 out of 5 stars,Bandaru Ramana
,,,,
https://m.media-amazon.com/images/I/71+-AOZQNlL._AC_UY218_.jpg,Head First Design Patterns: A Brain-Friendly Guide - 10th Anniversary Edition (Covers Java 8),? 900,4.4 out of 5 stars,"
    
        
        
            Eric Freeman
        
    
"
,,,,
https://m.media-amazon.com/images/I/91zkNsR8cbL._AC_UY218_.jpg,Computer System Architecture 3e (Update) by Pearson,? 605,4.3 out of 5 stars,"M Morris, Mano"
,,,,
https://m.media-amazon.com/images/I/51hR1SC1-gL._AC_UY218_.jpg,Love in the Time of Cholera,? 255,4.1 out of 5 stars,"
    
        
        
            Gabriel Garcia Marquez
        
    
"
,,,,
https://m.media-amazon.com/images/I/51iCpZ6ggBL._AC_UY218_.jpg,"Cell Biology, Genetics, Molecular Biology, Evolution & Ecology",? 855,4.4 out of 5 stars,Verma P.S.
,,,,
https://m.media-amazon.com/images/I/51fcFy61cCL._AC_UY218_.jpg,VALUE INVESTING AND BEHAVIORAL FINANCE: INSIGHTS INTO INDIAN STOCK MARKET REALITIES,? 442,4.2 out of 5 stars,"
    
        
        
            Parag Parikh
        
    
"
,,,,
https://m.media-amazon.com/images/I/A1QhLfpd0XL._AC_UY218_.jpg,Python Programming: A modular approach by Pearson,? 390,4.3 out of 5 stars,Taneja Sheetal
,,,,
https://m.media-amazon.com/images/I/51vlzzkNlSL._AC_UY218_.jpg,"Advanced Engineering Mathematics, 10ed, ISV",? 773,3.9 out of 5 stars,"
    
        
        
            Erwin Kreyszig
        
    
"
,,,,
https://m.media-amazon.com/images/I/51dJUcDMNRL._AC_UY218_.jpg,"Callister's Materials Science and Engineering, 2ed (WIND)",? 491,3.8 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/81N7ztYWjLL._AC_UY218_.jpg,GATE Mechanical Engineering  | GATE 2020 | By Pearson,? 581,1.0 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/61ZrOlFRuJL._AC_UY218_.jpg,"Previous Years' Solved Question Papers: GATE Mechanical Engineering, 2019 by Pearson",? 353,3.8 out of 5 stars,"
    
        
        
            Pearson Education
        
    
"
,,,,
https://m.media-amazon.com/images/I/418z1jFA5ML._AC_UY218_.jpg,Project Management: The Managerial Process,? 544,4.0 out of 5 stars,Erik Larson
,,,,
https://m.media-amazon.com/images/I/719Y2FORqJL._AC_UY218_.jpg,Basic Electrical Engineering,? 565,5.0 out of 5 stars,DP Kothari
,,,,
https://m.media-amazon.com/images/I/91IYA86m9DL._AC_UY218_.jpg,"Digital Design: With an Introduction to the Verilog HDL, VHDL and System Verilog",? 390,4.4 out of 5 stars,"
    
        
        
            M. Morris Mano
        
    
"
,,,,
https://m.media-amazon.com/images/I/518E4mayWhL._AC_UY218_.jpg,A Textbook of Electrical Technology - Volume I,? 470,3.9 out of 5 stars,"
    
        
        
            B L Theraja
        
    
"
,,,,
https://m.media-amazon.com/images/I/91SO5QoT55L._AC_UY218_.jpg,Computer Networking: A Top-Down Approach,? 519,4.3 out of 5 stars,"James F., Kurose"
,,,,
https://m.media-amazon.com/images/I/71yqk4DdJVL._AC_UY218_.jpg,Elementary Number Theory,? 514,4.5 out of 5 stars,David Burton
,,,,
https://m.media-amazon.com/images/I/51bD3QdahOL._AC_UY218_.jpg,Design of Analog CMOS Integrated Circuits,? 516,4.8 out of 5 stars,"
    
        
        
            Behzad Razavi
        
    
"
,,,,
https://m.media-amazon.com/images/I/71axb41abKL._AC_UY218_.jpg,"Introduction to Automata Theory, Languages, and Computation, 3e",? 512,3.7 out of 5 stars,Hopcroft
,,,,
https://m.media-amazon.com/images/I/71qpZ8-WR2L._AC_UY218_.jpg,Coding Interview Questions,? 499,4.1 out of 5 stars,"
    
        
        
            Narasimha Karumanchi
        
    
"
,,,,
https://m.media-amazon.com/images/I/61FmuzUH8AL._AC_UY218_.jpg,Programming with Java,? 440,4.5 out of 5 stars,E. Balagurusamy
,,,,
https://m.media-amazon.com/images/I/815qbb0fNWL._AC_UY218_.jpg,Fundamentals of Computer Algorithms(second edition),? 345,4.6 out of 5 stars,Sahni Horowitz
,,,,
https://m.media-amazon.com/images/I/51qFUscXWcL._AC_UY218_.jpg,Fundamentals of Digital Circuits,? 438,4.4 out of 5 stars,Kumar A. Anand
,,,,
https://m.media-amazon.com/images/I/A1geLLB+EzL._AC_UY218_.jpg,Design Data Handbook for Mechanical Engineers in SI and Metric Units,? 165,4.2 out of 5 stars,K. Mahadevan
,,,,
https://m.media-amazon.com/images/I/51KgfU+RvgL._AC_UY218_.jpg,"Introduction to Real Analysis, 4ed","? 9,189",4.2 out of 5 stars,"Robert G. Bartle, Donald R. Sherbert"
,,,,
https://m.media-amazon.com/images/I/71rUP3ZW4NL._AC_UY218_.jpg,"C++: The Complete Reference, 4th Edition",? 464,4.3 out of 5 stars,"
    
        
        
            Herbert Schildt
        
    
"
,,,,
https://m.media-amazon.com/images/I/71aj2wQgW4L._AC_UY218_.jpg,Principles of Electromagnetics: Sixth Edition,? 654,4.6 out of 5 stars,Matthew N.O. Sadiku
,,,,
https://m.media-amazon.com/images/I/51vlzzkNlSL._AC_UY218_.jpg,"Advanced Engineering Mathematics, 10ed, ISV",? 773,3.9 out of 5 stars,"
    
        
        
            Erwin Kreyszig
        
    
"
,,,,
https://m.media-amazon.com/images/I/51dJUcDMNRL._AC_UY218_.jpg,"Callister's Materials Science and Engineering, 2ed (WIND)",? 491,3.8 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/81N7ztYWjLL._AC_UY218_.jpg,GATE Mechanical Engineering  | GATE 2020 | By Pearson,? 581,1.0 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/61ZrOlFRuJL._AC_UY218_.jpg,"Previous Years' Solved Question Papers: GATE Mechanical Engineering, 2019 by Pearson",? 353,3.8 out of 5 stars,"
    
        
        
            Pearson Education
        
    
"
,,,,
https://m.media-amazon.com/images/I/51yl+h40PSL._AC_UY218_.jpg,Theory of Machines,? 506,4.3 out of 5 stars,S S Rattan
,,,,
https://m.media-amazon.com/images/I/81N7ztYWjLL._AC_UY218_.jpg,GATE Mechanical Engineering  | GATE 2020 | By Pearson,? 581,1.0 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/61ZrOlFRuJL._AC_UY218_.jpg,"Previous Years' Solved Question Papers: GATE Mechanical Engineering, 2019 by Pearson",? 353,3.8 out of 5 stars,"
    
        
        
            Pearson Education
        
    
"
,,,,
https://m.media-amazon.com/images/I/91zllyxf5aL._AC_UY218_.jpg,Engineering Circuit Analysis,? 561,4.5 out of 5 stars,William H. Hayt
,,,,
https://m.media-amazon.com/images/I/71CR3GpfyiL._AC_UY218_.jpg,Differential Equations with Applications and Historical Notes,? 550,4.1 out of 5 stars,George Simmons
,,,,
